iden;cilindrada;potencia;combustible;revoluciones;cilindros;longitud;ancho;altura;maletero;peso;plazas;velocidad;poca_aceleracion;traccion;consumo;coste/Km;precio;marca
'HONDA-Prelude 2.0i 4WS';1958;150;Gasolina;6000;4;446;171;125;353;1170;2;209;8;Delantera;8.5;13.9;3978;HONDA
'INNCOCENTI-990 DSE';993;37;Diesel;4600;3;337;151;137;295;685;5;125;18.2;Delantera;5.7;8.7;1488;INNCOCENTI
'INNCOCENTI-990 SL';993;53;Gasolina;5750;3;337;152;137;295;700;5;145;16.2;Delantera;7.3;11.7;1200;INNCOCENTI
'INNCOCENTI-Turbo De Tomaso';993;72;Gasolina;5700;3;313;152;134;280;710;5;162;10.8;Delantera;8.9;13.4;1497;INNCOCENTI
'JAGUAR-Daimler 4.0 Aut';3980;223;Gasolina;4750;6;499;179;136;430;1825;5;222;8.6;Trasera;14.4;20.9;9649;JAGUAR
'JAGUAR-Daimler V12 Aut';5345;260;Gasolina;5250;12;496;177;137;390;1930;5;233;8.9;Trasera;16.9;23.1;9819;JAGUAR
'JAGUAR-Sovereign 3.2 Aut';3239;200;Gasolina;5250;6;499;179;138;430;1800;5;210;9.5;Trasera;12.7;19.4;7345;JAGUAR
'JAGUAR-Sovereign 4.0 Aut';3980;223;Gasolina;4750;6;499;179;138;430;1825;5;219;8.6;Trasera;14.4;20.9;8352;JAGUAR
'JAGUAR-Sovereign V12 Aut';5345;260;Gasolina;5250;12;496;177;137;390;1930;5;223;8.9;Trasera;17.5;23.6;8619;JAGUAR
'JAGUAR-XJ6 3.2';3239;200;Gasolina;5250;6;499;179;138;430;1800;5;211;8.5;Trasera;12.8;19.4;6464;JAGUAR
'JAGUAR-XJ6 4.0';3980;223;Gasolina;4750;6;499;179;138;430;1825;5;222;7.6;Trasera;12.9;19.6;7554;JAGUAR
'JAGUAR-XJR-S 6.0 L';5993;309;Gasolina;5250;12;476;179;126;400;1850;2;250;6.9;Trasera;17.3;23.2;11704;JAGUAR
'JAGUAR-XJS 3.6 Coup‚';3590;221;Gasolina;5000;6;476;179;126;400;1680;4;228;7.4;Trasera;13.4;20;7321;JAGUAR
'JAGUAR-XJS V12 Aut';5345;295;Gasolina;5500;12;476;179;126;400;1830;2;238;7.6;Trasera;16.6;22.8;9936;JAGUAR
'LADA-Niva';1588;78;Gasolina;5400;4;372;168;164;250;1150;4;130;23;4x4;11.5;16.1;1210;LADA
'LADA-Samara';1288;65;Gasolina;5600;4;400;165;140;330;950;5;152;14.5;Delantera;8.2;12.2;1037;LADA
'LADA-Samara 1.5';1452;75;Gasolina;5600;4;400;162;140;432;900;5;160;13;Delantera;7.7;11.7;1087;LADA
'LANCIA-Dedra 1.6 ie';1591;90;Gasolina;5800;4;434;170;143;480;1060;5;180;12.1;Delantera;9.5;14.3;2038;LANCIA
'LANCIA-Dedra 1.8 ie';1756;110;Gasolina;6000;4;434;170;143;480;1150;5;192;10;Delantera;10.1;14.3;2283;LANCIA
'LANCIA-Dedra 2.0 I.E Turbo';1995;165;Gasolina;5500;4;434;170;143;480;1230;5;215;8.3;Delantera;10.2;15.8;3370;LANCIA
'LANCIA-Dedra 2.0 Turbodiesel';1929;92;Diesel;4100;4;434;170;143;480;1200;5;180;12.3;Delantera;6.5;9.4;2513;LANCIA
'LANCIA-Dedra 2.0 ie';1995;120;Gasolina;5750;4;434;170;143;480;1170;5;200;9.6;Delantera;10.5;16.1;2580;LANCIA
'LANCIA-Dedra Integrale';1995;180;Gasolina;5500;4;434;170;143;405;1330;5;215;7.8;4x4;11.1;18;3950;LANCIA
'LANCIA-Delta 1.3';1301;78;Gasolina;5800;4;389;162;138;260;950;5;163;14.3;Delantera;7.2;12.3;1528;LANCIA
'LANCIA-Delta 1.6 ie';1585;108;Gasolina;5900;4;389;162;138;260;995;5;185;10;Delantera;9.1;14.8;1690;LANCIA
'LANCIA-Delta GT ie';1585;108;Gasolina;5900;4;389;162;138;260;995;5;185;10;Delantera;9.1;14.8;1775;LANCIA
'LANCIA-Delta HF Turbo ie';1585;140;Gasolina;5500;4;389;162;138;260;1020;5;203;8.7;Delantera;9.6;16.4;2165;LANCIA
