iden;cilindrada;potencia;combustible;revoluciones;cilindros;longitud;ancho;altura;maletero;peso;plazas;velocidad;poca_aceleracion;traccion;consumo;coste/Km;precio;marca
'VOLKSWAGEN-Passat GT 16v';1781;136;Gasolina;6300;4;457;170;143;578;1200;5;206;10.1;Delantera;9.9;16.6;3186;VOLKSWAGEN
'VOLKSWAGEN-Passat GT Syncro G60';1781;160;Gasolina;5600;4;457;170;143;390;1320;5;215;9.6;4x4;10.3;15.9;3987;VOLKSWAGEN
'VOLKSWAGEN-Passat Variant CL 1.8';1781;90;Gasolina;5250;4;457;170;145;521;1155;7;172;14.2;Delantera;8;13.7;2459;VOLKSWAGEN
'VOLKSWAGEN-Passat Variant CL TD 1.6';1588;80;Diesel;4500;4;457;170;145;521;1215;7;164;16.1;Delantera;7.1;9.4;2791;VOLKSWAGEN
'VOLKSWAGEN-Passat Variant GL 2.0';1984;115;Gasolina;5200;4;457;170;145;521;1180;7;195;9.9;Delantera;9.3;15;2986;VOLKSWAGEN
'VOLKSWAGEN-Passat Variant GT 16v';1781;136;Gasolina;6300;4;457;170;145;521;1235;7;199;10.6;Delantera;9.9;16.6;3426;VOLKSWAGEN
'VOLKSWAGEN-Passat Variant GT Syncro G60';1781;160;Gasolina;5600;4;457;170;145;465;1345;7;210;9.8;4x4;10.3;15.9;4235;VOLKSWAGEN
'VOLKSWAGEN-Polo CL 1.0';1043;45;Gasolina;5600;4;376;157;135;240;780;5;145;20.3;Delantera;7.1;11.1;1165;VOLKSWAGEN
'VOLKSWAGEN-Polo CL 1.3';1272;55;Gasolina;5200;4;376;157;135;240;780;5;154;15.5;Delantera;8.4;12.3;1278;VOLKSWAGEN
'VOLKSWAGEN-Polo Classic 1.3';1272;55;Gasolina;5200;4;403;160;135;435;795;5;153;15.5;Delantera;7.4;11.7;1376;VOLKSWAGEN
'VOLKSWAGEN-Polo Classic CD 1.4';1395;50;Diesel;4500;4;403;160;135;435;820;5;141;19.5;Delantera;5.8;7.8;1347;VOLKSWAGEN
'VOLKSWAGEN-Polo Coup‚ CL 1.0';1043;45;Gasolina;5600;4;372;157;135;240;770;5;142;19.5;Delantera;7.4;11.4;1060;VOLKSWAGEN
'VOLKSWAGEN-Polo Coup‚ CL 1.3';1272;55;Gasolina;5200;4;372;157;135;240;785;5;154;15.5;Delantera;7.4;11.7;1278;VOLKSWAGEN
'VOLKSWAGEN-Polo Coup‚ GT 1.3';1272;55;Gasolina;5200;4;372;157;135;240;785;5;154;15.4;Delantera;7.4;11.7;1285;VOLKSWAGEN
'VOLKSWAGEN-Polo Fox D 1.4';1395;50;Diesel;4500;4;372;157;135;240;810;5;142;19.5;Delantera;5.8;7.8;1398;VOLKSWAGEN
'VOLKSWAGEN-Polo GT Injection 1.3';1272;80;Gasolina;6100;4;372;157;135;240;785;5;173;11.7;Delantera;7.7;12.2;1406;VOLKSWAGEN
'VOLVO-240 Polar';1986;116;Gasolina;5400;4;479;171;143;395;1250;5;180;10.7;Trasera;10;15.6;2793;VOLVO
'VOLVO-340 Plus';1721;83;Gasolina;5400;4;432;166;139;380;1090;5;165;12.4;Trasera;7.9;13;1842;VOLVO
'VOLVO-440 GL';1721;88;Gasolina;5700;4;431;168;138;330;1010;5;175;11.5;Delantera;9.1;13.9;2023;VOLVO
'VOLVO-440 GLT';1721;106;Gasolina;5800;4;431;168;138;330;1010;5;185;10.8;Delantera;9.2;14.3;2623;VOLVO
'VOLVO-440 Turbo';1721;122;Gasolina;5400;4;431;168;138;330;1065;5;200;9;Delantera;11.9;16.8;3023;VOLVO
'VOLVO-460 GLE';1721;106;Gasolina;5500;4;440;168;138;453;1017;5;185;10.4;Delantera;10.5;16;2783;VOLVO
'VOLVO-460 Turbo';1721;122;Gasolina;5400;4;440;168;138;453;1035;5;200;9;Delantera;9.9;15.4;3233;VOLVO
'VOLVO-480 ES';1721;106;Gasolina;5800;4;426;171;132;160;1010;4;190;10.5;Delantera;9;14.7;3193;VOLVO
'VOLVO-480 Turbo';1721;122;Gasolina;5400;4;426;171;132;160;1040;4;200;9;Delantera;9.3;15;3583;VOLVO
'VOLVO-740 Master II';1986;121;Gasolina;5500;4;478;175;141;500;1250;5;180;11;Trasera;10.3;16.1;3023;VOLVO
'VOLVO-745 Master II';2316;130;Gasolina;5500;4;478;175;141;500;1330;5;180;18.8;Trasera;10.5;16.1;3253;VOLVO
'VOLVO-940 GLE 16v';1986;139;Gasolina;6000;4;487;175;141;471;1550;5;200;9;Delantera;11.1;16.6;4108;VOLVO
'VOLVO-940 Turbo';2310;165;Gasolina;4800;4;487;175;141;471;1400;5;200;9;Trasera;13;19.6;4583;VOLVO
'VOLVO-960 24v';2922;204;Gasolina;6000;6;487;175;141;471;1570;5;220;8.5;Trasera;12.2;18.7;6482;VOLVO
'VOLVO-960 Turbo 16v';1986;190;Gasolina;5300;4;487;175;141;471;1570;5;205;9;Trasera;12.3;18.8;6082;VOLVO
'YUGO-45 A 4v';903;45;Gasolina;5800;4;349;154;139;270;720;5;135;21.7;Delantera;8;11.5;865;YUGO
'YUGO-55 AGL';1116;55;Gasolina;6000;4;349;154;139;270;790;5;145;19.7;Delantera;8.5;12.2;1042;YUGO
'YUGO-65 AGLS';1299;65;Gasolina;5800;4;349;154;139;270;810;5;155;17.6;Delantera;9;13.3;1167;YUGO
'YUGO-Florida';1372;70;Gasolina;6000;4;349;164;143;410;875;5;160;14.5;Delantera;9.2;13.5;1294;YUGO
